rfq_id,similar_rfq_id,rank,similarity
8aff426d-b8c0-43aa-ad26-835ef4de6129,269d6f1b-faa1-4fae-ab15-e71211c94cff,1,
8aff426d-b8c0-43aa-ad26-835ef4de6129,9498ba9c-5acf-4219-9c4f-a9e87e4aeadd,2,
8aff426d-b8c0-43aa-ad26-835ef4de6129,02647f9b-5108-4955-938f-e6b003b62690,3,
37e624be-b125-464f-85b6-1838530193ef,3d594a5b-ff2d-41a2-9c81-ae7a3b055f89,1,0.27799999999999997
37e624be-b125-464f-85b6-1838530193ef,b8257184-6307-46ab-b06e-d979336d1263,2,0.2388
37e624be-b125-464f-85b6-1838530193ef,973d80a1-f1b8-461b-bb25-7d8852968b1c,3,0.2388
b8257184-6307-46ab-b06e-d979336d1263,973d80a1-f1b8-461b-bb25-7d8852968b1c,1,0.3
b8257184-6307-46ab-b06e-d979336d1263,8fe87807-dae8-4341-94fd-2ab91f176464,2,0.3
b8257184-6307-46ab-b06e-d979336d1263,c18a7f01-1cb6-4987-a2cc-93251d3719b9,3,0.3
63140d1f-dda8-40fe-8931-bcaba65d5772,11cffc57-44be-4d79-bfd5-97482be566d3,1,0.3
63140d1f-dda8-40fe-8931-bcaba65d5772,75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,2,0.3
63140d1f-dda8-40fe-8931-bcaba65d5772,ca60a74b-7cdc-4098-a20c-2de916dcb66b,3,0.3
11cffc57-44be-4d79-bfd5-97482be566d3,63140d1f-dda8-40fe-8931-bcaba65d5772,1,0.3
11cffc57-44be-4d79-bfd5-97482be566d3,75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,2,0.3
11cffc57-44be-4d79-bfd5-97482be566d3,ca60a74b-7cdc-4098-a20c-2de916dcb66b,3,0.3
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,63140d1f-dda8-40fe-8931-bcaba65d5772,1,0.3
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,11cffc57-44be-4d79-bfd5-97482be566d3,2,0.3
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,ca60a74b-7cdc-4098-a20c-2de916dcb66b,3,0.3
973d80a1-f1b8-461b-bb25-7d8852968b1c,b8257184-6307-46ab-b06e-d979336d1263,1,0.3
973d80a1-f1b8-461b-bb25-7d8852968b1c,8fe87807-dae8-4341-94fd-2ab91f176464,2,0.3
973d80a1-f1b8-461b-bb25-7d8852968b1c,c18a7f01-1cb6-4987-a2cc-93251d3719b9,3,0.3
8fe87807-dae8-4341-94fd-2ab91f176464,b8257184-6307-46ab-b06e-d979336d1263,1,0.3
8fe87807-dae8-4341-94fd-2ab91f176464,973d80a1-f1b8-461b-bb25-7d8852968b1c,2,0.3
8fe87807-dae8-4341-94fd-2ab91f176464,c18a7f01-1cb6-4987-a2cc-93251d3719b9,3,0.3
c18a7f01-1cb6-4987-a2cc-93251d3719b9,b8257184-6307-46ab-b06e-d979336d1263,1,0.3
c18a7f01-1cb6-4987-a2cc-93251d3719b9,973d80a1-f1b8-461b-bb25-7d8852968b1c,2,0.3
c18a7f01-1cb6-4987-a2cc-93251d3719b9,8fe87807-dae8-4341-94fd-2ab91f176464,3,0.3
0777b4fd-292a-439b-848f-d772ee28c3b8,b8257184-6307-46ab-b06e-d979336d1263,1,0.3
0777b4fd-292a-439b-848f-d772ee28c3b8,973d80a1-f1b8-461b-bb25-7d8852968b1c,2,0.3
0777b4fd-292a-439b-848f-d772ee28c3b8,8fe87807-dae8-4341-94fd-2ab91f176464,3,0.3
a0e91fd1-b00b-4ff7-8633-62657662b03b,b8257184-6307-46ab-b06e-d979336d1263,1,0.3
a0e91fd1-b00b-4ff7-8633-62657662b03b,973d80a1-f1b8-461b-bb25-7d8852968b1c,2,0.3
a0e91fd1-b00b-4ff7-8633-62657662b03b,8fe87807-dae8-4341-94fd-2ab91f176464,3,0.3
84be5122-71d5-4a35-a912-fd2911e3c64f,0f595b0b-2253-4585-a672-fda592da7191,1,0.3
84be5122-71d5-4a35-a912-fd2911e3c64f,facd942d-02a2-46bf-936c-e3afd39ee20d,2,0.3
84be5122-71d5-4a35-a912-fd2911e3c64f,178a48ef-f870-46d7-ba3c-c94b35477459,3,0.3
0f595b0b-2253-4585-a672-fda592da7191,84be5122-71d5-4a35-a912-fd2911e3c64f,1,0.3
0f595b0b-2253-4585-a672-fda592da7191,facd942d-02a2-46bf-936c-e3afd39ee20d,2,0.3
0f595b0b-2253-4585-a672-fda592da7191,178a48ef-f870-46d7-ba3c-c94b35477459,3,0.3
920dcf5c-136f-4ffc-9449-03f00c1b5a46,a462a4cb-bbaa-4417-b876-4b8606c6f8db,1,0.3
920dcf5c-136f-4ffc-9449-03f00c1b5a46,7729084d-fc2d-41d8-a8df-891da74078f1,2,0.3
920dcf5c-136f-4ffc-9449-03f00c1b5a46,86008598-05ed-4532-8a70-e8ee8daf3796,3,0.3
facd942d-02a2-46bf-936c-e3afd39ee20d,84be5122-71d5-4a35-a912-fd2911e3c64f,1,0.3
facd942d-02a2-46bf-936c-e3afd39ee20d,0f595b0b-2253-4585-a672-fda592da7191,2,0.3
facd942d-02a2-46bf-936c-e3afd39ee20d,178a48ef-f870-46d7-ba3c-c94b35477459,3,0.3
140d30f7-f16d-4455-a448-516ab6616812,69d1f6b7-dc43-4dfd-90da-507a8dfd23d2,1,0.3
140d30f7-f16d-4455-a448-516ab6616812,341ae37b-3e39-44f4-99f5-566fab316e0c,2,0.3
140d30f7-f16d-4455-a448-516ab6616812,2564eefa-070f-4e4a-915e-c553a35fa561,3,0.3
178a48ef-f870-46d7-ba3c-c94b35477459,84be5122-71d5-4a35-a912-fd2911e3c64f,1,0.3
178a48ef-f870-46d7-ba3c-c94b35477459,0f595b0b-2253-4585-a672-fda592da7191,2,0.3
178a48ef-f870-46d7-ba3c-c94b35477459,facd942d-02a2-46bf-936c-e3afd39ee20d,3,0.3
69d1f6b7-dc43-4dfd-90da-507a8dfd23d2,140d30f7-f16d-4455-a448-516ab6616812,1,0.3
69d1f6b7-dc43-4dfd-90da-507a8dfd23d2,341ae37b-3e39-44f4-99f5-566fab316e0c,2,0.3
69d1f6b7-dc43-4dfd-90da-507a8dfd23d2,2564eefa-070f-4e4a-915e-c553a35fa561,3,0.3
