rfq_id,match_id,similarity_score
8aff426d-b8c0-43aa-ad26-835ef4de6129,2624655e-ea07-468a-8da8-2e39c9d1e7f0,0.7396
8aff426d-b8c0-43aa-ad26-835ef4de6129,7d1ab305-7fc6-4ab0-bc2a-9ae1e038e67e,0.7254
8aff426d-b8c0-43aa-ad26-835ef4de6129,a462a4cb-bbaa-4417-b876-4b8606c6f8db,0.7202
37e624be-b125-464f-85b6-1838530193ef,56c75e72-50ae-4e29-aea4-f6394e1d986b,0.4
37e624be-b125-464f-85b6-1838530193ef,a3f38767-02ae-4990-be18-35ca819684a7,0.4
37e624be-b125-464f-85b6-1838530193ef,eb12b319-97e9-4acf-9991-d051e38d0210,0.3997
b8257184-6307-46ab-b06e-d979336d1263,1d54d3de-d0b3-4273-89e9-7ef3e8febb0d,0.5
b8257184-6307-46ab-b06e-d979336d1263,e5c22e58-7870-4db5-98ea-aede48914170,0.5
b8257184-6307-46ab-b06e-d979336d1263,3d92c9e6-d3f8-4177-900c-04adc55774c1,0.4998
63140d1f-dda8-40fe-8931-bcaba65d5772,11cffc57-44be-4d79-bfd5-97482be566d3,0.5
63140d1f-dda8-40fe-8931-bcaba65d5772,75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,0.5
63140d1f-dda8-40fe-8931-bcaba65d5772,c18a7f01-1cb6-4987-a2cc-93251d3719b9,0.4834
11cffc57-44be-4d79-bfd5-97482be566d3,63140d1f-dda8-40fe-8931-bcaba65d5772,0.5
11cffc57-44be-4d79-bfd5-97482be566d3,75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,0.5
11cffc57-44be-4d79-bfd5-97482be566d3,c18a7f01-1cb6-4987-a2cc-93251d3719b9,0.4834
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,63140d1f-dda8-40fe-8931-bcaba65d5772,0.5
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,11cffc57-44be-4d79-bfd5-97482be566d3,0.5
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,c18a7f01-1cb6-4987-a2cc-93251d3719b9,0.4834
973d80a1-f1b8-461b-bb25-7d8852968b1c,a0e91fd1-b00b-4ff7-8633-62657662b03b,0.45
973d80a1-f1b8-461b-bb25-7d8852968b1c,8ded8ec2-f221-4c6d-aadb-fa8294388127,0.45
973d80a1-f1b8-461b-bb25-7d8852968b1c,427971fd-2d3e-4b1c-a146-764aae84a056,0.45
8fe87807-dae8-4341-94fd-2ab91f176464,a17358c1-aece-44b4-bd08-696a32857e28,0.45
8fe87807-dae8-4341-94fd-2ab91f176464,1982a20f-640e-4caa-b9e7-3ca15d7e1acb,0.45
8fe87807-dae8-4341-94fd-2ab91f176464,a0e91fd1-b00b-4ff7-8633-62657662b03b,0.45
c18a7f01-1cb6-4987-a2cc-93251d3719b9,11cffc57-44be-4d79-bfd5-97482be566d3,0.4834
c18a7f01-1cb6-4987-a2cc-93251d3719b9,63140d1f-dda8-40fe-8931-bcaba65d5772,0.4834
c18a7f01-1cb6-4987-a2cc-93251d3719b9,75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,0.4834
0777b4fd-292a-439b-848f-d772ee28c3b8,99da9f39-2d62-4da9-993c-06c5eadcba5d,0.45
0777b4fd-292a-439b-848f-d772ee28c3b8,ada2d439-02d7-4b2d-b1fb-3aeae9a73334,0.45
0777b4fd-292a-439b-848f-d772ee28c3b8,c18a7f01-1cb6-4987-a2cc-93251d3719b9,0.45
a0e91fd1-b00b-4ff7-8633-62657662b03b,8fe87807-dae8-4341-94fd-2ab91f176464,0.45
a0e91fd1-b00b-4ff7-8633-62657662b03b,973d80a1-f1b8-461b-bb25-7d8852968b1c,0.45
a0e91fd1-b00b-4ff7-8633-62657662b03b,63078462-b3a8-463c-8c44-301ec9d0d024,0.45
84be5122-71d5-4a35-a912-fd2911e3c64f,e118d64a-246c-4313-b48f-4318cdf92200,0.5
84be5122-71d5-4a35-a912-fd2911e3c64f,fb2c9da4-f747-4c1c-95a5-b2bb40f9ffab,0.5
84be5122-71d5-4a35-a912-fd2911e3c64f,aad5ef88-18cc-4492-9506-09871a1b5245,0.5
0f595b0b-2253-4585-a672-fda592da7191,e3965593-af94-4667-b8da-863b9cd8732e,0.4998
0f595b0b-2253-4585-a672-fda592da7191,299f38e8-bec3-44e6-8faa-820b7c0f40e9,0.4998
0f595b0b-2253-4585-a672-fda592da7191,7b857aa7-ca9d-4245-84f3-96552e1d4e42,0.4988
920dcf5c-136f-4ffc-9449-03f00c1b5a46,dff7cdb0-f464-4b60-91ce-8d628f8ed4de,0.5429
920dcf5c-136f-4ffc-9449-03f00c1b5a46,efd27152-cf84-4017-86d6-6b97d83fb3a2,0.5086
920dcf5c-136f-4ffc-9449-03f00c1b5a46,3fe05d73-7de1-4c32-ad94-991ff0ad4290,0.5
facd942d-02a2-46bf-936c-e3afd39ee20d,aad5ef88-18cc-4492-9506-09871a1b5245,0.5429
facd942d-02a2-46bf-936c-e3afd39ee20d,70477a56-83d2-4429-bbca-b37456aa93f5,0.5429
facd942d-02a2-46bf-936c-e3afd39ee20d,ae16b3ef-575d-40af-b90c-ca2b5196b47e,0.5429
140d30f7-f16d-4455-a448-516ab6616812,1a03c364-bea7-4abf-bdb4-621a45f1abb5,0.5
140d30f7-f16d-4455-a448-516ab6616812,de5814ee-e207-46b1-bc9b-67008bfa4b22,0.5
140d30f7-f16d-4455-a448-516ab6616812,b8327004-2784-4696-8d75-40ac901ca0c7,0.5
178a48ef-f870-46d7-ba3c-c94b35477459,aad5ef88-18cc-4492-9506-09871a1b5245,0.5429
178a48ef-f870-46d7-ba3c-c94b35477459,70477a56-83d2-4429-bbca-b37456aa93f5,0.5429
178a48ef-f870-46d7-ba3c-c94b35477459,ae16b3ef-575d-40af-b90c-ca2b5196b47e,0.5429
69d1f6b7-dc43-4dfd-90da-507a8dfd23d2,1a03c364-bea7-4abf-bdb4-621a45f1abb5,0.5
69d1f6b7-dc43-4dfd-90da-507a8dfd23d2,de5814ee-e207-46b1-bc9b-67008bfa4b22,0.5
69d1f6b7-dc43-4dfd-90da-507a8dfd23d2,b8327004-2784-4696-8d75-40ac901ca0c7,0.5
ca60a74b-7cdc-4098-a20c-2de916dcb66b,df6085e7-42f9-4ce3-92b0-3a7a24159a61,0.5
ca60a74b-7cdc-4098-a20c-2de916dcb66b,eda0256a-dce3-4a1a-8b42-937f944c9fc9,0.45
ca60a74b-7cdc-4098-a20c-2de916dcb66b,4867919e-2a2f-4f11-83b4-aa51c4684475,0.45
df6085e7-42f9-4ce3-92b0-3a7a24159a61,ca60a74b-7cdc-4098-a20c-2de916dcb66b,0.5
df6085e7-42f9-4ce3-92b0-3a7a24159a61,eda0256a-dce3-4a1a-8b42-937f944c9fc9,0.45
df6085e7-42f9-4ce3-92b0-3a7a24159a61,4867919e-2a2f-4f11-83b4-aa51c4684475,0.45
e46aa804-164c-4907-a7ca-07a99d66d1b6,094422ce-696c-482d-9927-c3cfbf347f7a,0.5
e46aa804-164c-4907-a7ca-07a99d66d1b6,99da9f39-2d62-4da9-993c-06c5eadcba5d,0.4498
e46aa804-164c-4907-a7ca-07a99d66d1b6,ceb7c087-e841-483e-8231-11e436c9e04c,0.4498
094422ce-696c-482d-9927-c3cfbf347f7a,e46aa804-164c-4907-a7ca-07a99d66d1b6,0.5
094422ce-696c-482d-9927-c3cfbf347f7a,99da9f39-2d62-4da9-993c-06c5eadcba5d,0.4498
094422ce-696c-482d-9927-c3cfbf347f7a,ceb7c087-e841-483e-8231-11e436c9e04c,0.4498
a462a4cb-bbaa-4417-b876-4b8606c6f8db,ca1ccf90-ef97-446d-b9ba-214844ffc371,0.7503
a462a4cb-bbaa-4417-b876-4b8606c6f8db,8aff426d-b8c0-43aa-ad26-835ef4de6129,0.7202
a462a4cb-bbaa-4417-b876-4b8606c6f8db,6de1f83d-3950-45bb-8be0-7d5fab0e6274,0.7145
7729084d-fc2d-41d8-a8df-891da74078f1,502b3359-ee17-4ecc-8046-ceb4e6559fb8,0.5
7729084d-fc2d-41d8-a8df-891da74078f1,9114ca51-0bae-45ef-9a82-8bef4a6e9cf8,0.5
7729084d-fc2d-41d8-a8df-891da74078f1,0543ec11-51e5-4b6e-8ff3-bd1dc271d768,0.5
86008598-05ed-4532-8a70-e8ee8daf3796,502b3359-ee17-4ecc-8046-ceb4e6559fb8,0.5
86008598-05ed-4532-8a70-e8ee8daf3796,9114ca51-0bae-45ef-9a82-8bef4a6e9cf8,0.5
86008598-05ed-4532-8a70-e8ee8daf3796,0543ec11-51e5-4b6e-8ff3-bd1dc271d768,0.5
06bf89b8-3e0b-4be9-a611-1e656cae34eb,340e1620-c67d-4079-834f-561944ff8c78,0.5
06bf89b8-3e0b-4be9-a611-1e656cae34eb,db475b0b-e62d-4719-a502-d1effef1ed48,0.5
06bf89b8-3e0b-4be9-a611-1e656cae34eb,e1741ce6-d9ae-41d3-990f-fd821daa8b8e,0.5
502b3359-ee17-4ecc-8046-ceb4e6559fb8,86008598-05ed-4532-8a70-e8ee8daf3796,0.5
502b3359-ee17-4ecc-8046-ceb4e6559fb8,9114ca51-0bae-45ef-9a82-8bef4a6e9cf8,0.5
502b3359-ee17-4ecc-8046-ceb4e6559fb8,0543ec11-51e5-4b6e-8ff3-bd1dc271d768,0.5
0543ec11-51e5-4b6e-8ff3-bd1dc271d768,86008598-05ed-4532-8a70-e8ee8daf3796,0.5
0543ec11-51e5-4b6e-8ff3-bd1dc271d768,9114ca51-0bae-45ef-9a82-8bef4a6e9cf8,0.5
0543ec11-51e5-4b6e-8ff3-bd1dc271d768,502b3359-ee17-4ecc-8046-ceb4e6559fb8,0.5
5242c623-abc6-4cc8-a1e3-dde93a899f00,e46da0fc-64a2-40da-9482-0978978d74e7,0.5
5242c623-abc6-4cc8-a1e3-dde93a899f00,1d746f17-0484-43df-bde3-783203462c19,0.5
