rfq_id,match_id,similarity_score,config
8aff426d-b8c0-43aa-ad26-835ef4de6129,0f595b0b-2253-4585-a672-fda592da7191,0.9988,grade_only
8aff426d-b8c0-43aa-ad26-835ef4de6129,761b9fc9-1000-476c-bebe-6c40dd431b1c,0.9988,grade_only
8aff426d-b8c0-43aa-ad26-835ef4de6129,4d565122-229a-4541-8a53-3b18169c3635,0.9988,grade_only
37e624be-b125-464f-85b6-1838530193ef,5ad0afbf-dc39-4adb-bbd5-c18012316bb5,0.999,grade_only
37e624be-b125-464f-85b6-1838530193ef,98baf810-a4ed-48a4-97b5-383e1066ab63,0.999,grade_only
37e624be-b125-464f-85b6-1838530193ef,483fc59d-e32b-407e-8688-ef9e57ab2857,0.999,grade_only
b8257184-6307-46ab-b06e-d979336d1263,354f019f-8936-46c7-aa22-c7a3d399d21a,0.996,grade_only
b8257184-6307-46ab-b06e-d979336d1263,a0eac7b9-7ba5-4227-a01f-b28243eea520,0.9959,grade_only
b8257184-6307-46ab-b06e-d979336d1263,8cc002db-1ef0-4e9e-aaa4-7a88d9c70184,0.9959,grade_only
63140d1f-dda8-40fe-8931-bcaba65d5772,9498ba9c-5acf-4219-9c4f-a9e87e4aeadd,0.9986,grade_only
63140d1f-dda8-40fe-8931-bcaba65d5772,269d6f1b-faa1-4fae-ab15-e71211c94cff,0.9986,grade_only
63140d1f-dda8-40fe-8931-bcaba65d5772,613608a5-2b5d-4cca-8527-5639ab76949c,0.9986,grade_only
11cffc57-44be-4d79-bfd5-97482be566d3,9498ba9c-5acf-4219-9c4f-a9e87e4aeadd,0.9986,grade_only
11cffc57-44be-4d79-bfd5-97482be566d3,269d6f1b-faa1-4fae-ab15-e71211c94cff,0.9986,grade_only
11cffc57-44be-4d79-bfd5-97482be566d3,613608a5-2b5d-4cca-8527-5639ab76949c,0.9986,grade_only
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,9498ba9c-5acf-4219-9c4f-a9e87e4aeadd,0.9986,grade_only
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,269d6f1b-faa1-4fae-ab15-e71211c94cff,0.9986,grade_only
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,613608a5-2b5d-4cca-8527-5639ab76949c,0.9986,grade_only
973d80a1-f1b8-461b-bb25-7d8852968b1c,354f019f-8936-46c7-aa22-c7a3d399d21a,0.996,grade_only
973d80a1-f1b8-461b-bb25-7d8852968b1c,a0eac7b9-7ba5-4227-a01f-b28243eea520,0.9959,grade_only
973d80a1-f1b8-461b-bb25-7d8852968b1c,8cc002db-1ef0-4e9e-aaa4-7a88d9c70184,0.9959,grade_only
8fe87807-dae8-4341-94fd-2ab91f176464,354f019f-8936-46c7-aa22-c7a3d399d21a,0.996,grade_only
8fe87807-dae8-4341-94fd-2ab91f176464,a0eac7b9-7ba5-4227-a01f-b28243eea520,0.9959,grade_only
8fe87807-dae8-4341-94fd-2ab91f176464,8cc002db-1ef0-4e9e-aaa4-7a88d9c70184,0.9959,grade_only
c18a7f01-1cb6-4987-a2cc-93251d3719b9,354f019f-8936-46c7-aa22-c7a3d399d21a,0.996,grade_only
c18a7f01-1cb6-4987-a2cc-93251d3719b9,a0eac7b9-7ba5-4227-a01f-b28243eea520,0.9959,grade_only
c18a7f01-1cb6-4987-a2cc-93251d3719b9,8cc002db-1ef0-4e9e-aaa4-7a88d9c70184,0.9959,grade_only
0777b4fd-292a-439b-848f-d772ee28c3b8,354f019f-8936-46c7-aa22-c7a3d399d21a,0.996,grade_only
0777b4fd-292a-439b-848f-d772ee28c3b8,a0eac7b9-7ba5-4227-a01f-b28243eea520,0.9959,grade_only
0777b4fd-292a-439b-848f-d772ee28c3b8,8cc002db-1ef0-4e9e-aaa4-7a88d9c70184,0.9959,grade_only
