rfq_id,match_id,similarity_score,config
8aff426d-b8c0-43aa-ad26-835ef4de6129,2624655e-ea07-468a-8da8-2e39c9d1e7f0,0.7818,balanced
8aff426d-b8c0-43aa-ad26-835ef4de6129,a462a4cb-bbaa-4417-b876-4b8606c6f8db,0.7549,balanced
8aff426d-b8c0-43aa-ad26-835ef4de6129,7d1ab305-7fc6-4ab0-bc2a-9ae1e038e67e,0.7503,balanced
37e624be-b125-464f-85b6-1838530193ef,a3f38767-02ae-4990-be18-35ca819684a7,0.375,balanced
37e624be-b125-464f-85b6-1838530193ef,56c75e72-50ae-4e29-aea4-f6394e1d986b,0.375,balanced
37e624be-b125-464f-85b6-1838530193ef,1c405089-f867-4741-ac84-58870ab6c7c7,0.3748,balanced
b8257184-6307-46ab-b06e-d979336d1263,1d54d3de-d0b3-4273-89e9-7ef3e8febb0d,0.5,balanced
b8257184-6307-46ab-b06e-d979336d1263,e5c22e58-7870-4db5-98ea-aede48914170,0.5,balanced
b8257184-6307-46ab-b06e-d979336d1263,3d92c9e6-d3f8-4177-900c-04adc55774c1,0.4998,balanced
63140d1f-dda8-40fe-8931-bcaba65d5772,11cffc57-44be-4d79-bfd5-97482be566d3,0.5,balanced
63140d1f-dda8-40fe-8931-bcaba65d5772,75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,0.5,balanced
63140d1f-dda8-40fe-8931-bcaba65d5772,c18a7f01-1cb6-4987-a2cc-93251d3719b9,0.4862,balanced
11cffc57-44be-4d79-bfd5-97482be566d3,63140d1f-dda8-40fe-8931-bcaba65d5772,0.5,balanced
11cffc57-44be-4d79-bfd5-97482be566d3,75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,0.5,balanced
11cffc57-44be-4d79-bfd5-97482be566d3,c18a7f01-1cb6-4987-a2cc-93251d3719b9,0.4862,balanced
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,63140d1f-dda8-40fe-8931-bcaba65d5772,0.5,balanced
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,11cffc57-44be-4d79-bfd5-97482be566d3,0.5,balanced
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,c18a7f01-1cb6-4987-a2cc-93251d3719b9,0.4862,balanced
973d80a1-f1b8-461b-bb25-7d8852968b1c,8fe87807-dae8-4341-94fd-2ab91f176464,0.4375,balanced
973d80a1-f1b8-461b-bb25-7d8852968b1c,427971fd-2d3e-4b1c-a146-764aae84a056,0.4375,balanced
973d80a1-f1b8-461b-bb25-7d8852968b1c,d82bdfdb-7086-4b6b-9c1c-0ac0c11d8ad9,0.4375,balanced
8fe87807-dae8-4341-94fd-2ab91f176464,973d80a1-f1b8-461b-bb25-7d8852968b1c,0.4375,balanced
8fe87807-dae8-4341-94fd-2ab91f176464,a0e91fd1-b00b-4ff7-8633-62657662b03b,0.4375,balanced
8fe87807-dae8-4341-94fd-2ab91f176464,f7c40656-b7b7-435b-a516-285afaa751db,0.4375,balanced
c18a7f01-1cb6-4987-a2cc-93251d3719b9,11cffc57-44be-4d79-bfd5-97482be566d3,0.4862,balanced
c18a7f01-1cb6-4987-a2cc-93251d3719b9,63140d1f-dda8-40fe-8931-bcaba65d5772,0.4862,balanced
c18a7f01-1cb6-4987-a2cc-93251d3719b9,75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,0.4862,balanced
0777b4fd-292a-439b-848f-d772ee28c3b8,99da9f39-2d62-4da9-993c-06c5eadcba5d,0.4375,balanced
0777b4fd-292a-439b-848f-d772ee28c3b8,ada2d439-02d7-4b2d-b1fb-3aeae9a73334,0.4375,balanced
0777b4fd-292a-439b-848f-d772ee28c3b8,c18a7f01-1cb6-4987-a2cc-93251d3719b9,0.4375,balanced
