rfq_id,match_id,similarity_score,config
8aff426d-b8c0-43aa-ad26-835ef4de6129,2e56f82b-a80d-4704-83a5-14a52a117b65,0.75,categorical_only
8aff426d-b8c0-43aa-ad26-835ef4de6129,761b9fc9-1000-476c-bebe-6c40dd431b1c,0.75,categorical_only
8aff426d-b8c0-43aa-ad26-835ef4de6129,81c9dcd6-b91d-4a3c-a6a8-5a72d0a7d68c,0.75,categorical_only
37e624be-b125-464f-85b6-1838530193ef,8dedaf17-28bc-4006-85f5-62a2a7fc58a6,0.5,categorical_only
37e624be-b125-464f-85b6-1838530193ef,ff41f06c-3b42-4ca1-837e-6b6fa5c7e16b,0.5,categorical_only
37e624be-b125-464f-85b6-1838530193ef,c02ac938-a3f5-4c69-a2db-375afa85f548,0.5,categorical_only
b8257184-6307-46ab-b06e-d979336d1263,973263ef-721e-44c3-8921-81678e9a927a,0.75,categorical_only
b8257184-6307-46ab-b06e-d979336d1263,7fd6cfac-fab4-415c-acc5-a03e8896b0eb,0.75,categorical_only
b8257184-6307-46ab-b06e-d979336d1263,99bbb98d-d06d-4633-a68c-9be3bb9f6011,0.75,categorical_only
63140d1f-dda8-40fe-8931-bcaba65d5772,4547058c-19a5-459c-96e7-5c4cfa7f2568,0.75,categorical_only
63140d1f-dda8-40fe-8931-bcaba65d5772,12779ba3-969c-48dc-97d8-33e72279f695,0.75,categorical_only
63140d1f-dda8-40fe-8931-bcaba65d5772,4ed0a63d-81fe-441f-b87a-cd4e6db65bb7,0.75,categorical_only
11cffc57-44be-4d79-bfd5-97482be566d3,4547058c-19a5-459c-96e7-5c4cfa7f2568,0.75,categorical_only
11cffc57-44be-4d79-bfd5-97482be566d3,12779ba3-969c-48dc-97d8-33e72279f695,0.75,categorical_only
11cffc57-44be-4d79-bfd5-97482be566d3,4ed0a63d-81fe-441f-b87a-cd4e6db65bb7,0.75,categorical_only
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,4547058c-19a5-459c-96e7-5c4cfa7f2568,0.75,categorical_only
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,12779ba3-969c-48dc-97d8-33e72279f695,0.75,categorical_only
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,4ed0a63d-81fe-441f-b87a-cd4e6db65bb7,0.75,categorical_only
973d80a1-f1b8-461b-bb25-7d8852968b1c,427971fd-2d3e-4b1c-a146-764aae84a056,0.75,categorical_only
973d80a1-f1b8-461b-bb25-7d8852968b1c,4abe8206-5516-481f-8df3-39702b02717b,0.75,categorical_only
973d80a1-f1b8-461b-bb25-7d8852968b1c,d82bdfdb-7086-4b6b-9c1c-0ac0c11d8ad9,0.75,categorical_only
8fe87807-dae8-4341-94fd-2ab91f176464,87d99bfa-3787-46fa-b3e2-b2c7c12b38cd,0.75,categorical_only
8fe87807-dae8-4341-94fd-2ab91f176464,1982a20f-640e-4caa-b9e7-3ca15d7e1acb,0.75,categorical_only
8fe87807-dae8-4341-94fd-2ab91f176464,a17358c1-aece-44b4-bd08-696a32857e28,0.75,categorical_only
c18a7f01-1cb6-4987-a2cc-93251d3719b9,4547058c-19a5-459c-96e7-5c4cfa7f2568,0.75,categorical_only
c18a7f01-1cb6-4987-a2cc-93251d3719b9,12779ba3-969c-48dc-97d8-33e72279f695,0.75,categorical_only
c18a7f01-1cb6-4987-a2cc-93251d3719b9,4ed0a63d-81fe-441f-b87a-cd4e6db65bb7,0.75,categorical_only
0777b4fd-292a-439b-848f-d772ee28c3b8,204bb059-11ec-450a-91cb-d78a8a5619cc,0.75,categorical_only
0777b4fd-292a-439b-848f-d772ee28c3b8,9c779f8b-bd59-4351-a876-8934a07614bc,0.75,categorical_only
0777b4fd-292a-439b-848f-d772ee28c3b8,02647f9b-5108-4955-938f-e6b003b62690,0.75,categorical_only
